2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_estrellaon.xml
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_estrellaon_no.png
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_estrellaon_si.png
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_gms.xml
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_gms_no.png
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_gms_si.png
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_guardar.xml
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_guardar_no.png
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_guardar_si.png
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_info.xml
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_info_no.png
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_info_si.png
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_mas.xml
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_mas_no.png
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_mas_si.png
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_paypal.xml
2021-08-29 10:36:32.362 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_paypal_no.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_paypal_si.png
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_play.xml
2021-08-29 10:36:32.363 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_play_no.png
